Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
1982/01,0.085865536,0.092900756,0.09364787,0.088810557,0.066882263,0.091769424,0.045160004
1982/02,0.089239654,0.096868689,0.097213976,0.093211727,0.0687998,0.093825657,0.046981877
1982/03,0.09249895,0.101013577,0.101520089,0.096994868,0.069947384,0.095360957,0.047792787
1982/04,0.097512044,0.10683593,0.107739765,0.102069613,0.072960571,0.100982059,0.04846403
1982/05,0.102993008,0.113471372,0.114753308,0.107957752,0.075646064,0.106239411,0.048835255
1982/06,0.107954431,0.119428583,0.11991867,0.114829701,0.078185915,0.111027226,0.04935546
1982/07,0.113517202,0.125427824,0.125852051,0.120724742,0.082563155,0.120017252,0.049574698
1982/08,0.126255879,0.137414418,0.13981141,0.129553645,0.096516921,0.130006477,0.067393354
1982/09,0.1329955,0.144973814,0.148395579,0.135429087,0.101168307,0.138360003,0.068726312
1982/10,0.139890117,0.153430136,0.158467711,0.141343667,0.104297225,0.144228414,0.069394531
1982/11,0.146962697,0.16244297,0.169055077,0.147854387,0.106755589,0.148732773,0.070017115
1982/12,0.162656416,0.17466842,0.182006773,0.158661465,0.129648083,0.158662171,0.105173174
1983/01,0.180355086,0.195201638,0.203179838,0.177625282,0.140326335,0.171783643,0.113786511
1983/02,0.190033959,0.207337551,0.217890281,0.185755165,0.144134543,0.177373833,0.116023228
1983/03,0.199232046,0.217867736,0.230409488,0.193152579,0.14999688,0.188672475,0.116996805
1983/04,0.211845861,0.230276137,0.244770957,0.202417078,0.162603593,0.202303813,0.128871163
1983/05,0.221033903,0.240226457,0.256233874,0.209921383,0.169738881,0.21442906,0.131547919
1983/06,0.229403889,0.24948521,0.265665442,0.218634641,0.17580385,0.226012033,0.132652538
1983/07,0.240746133,0.264129704,0.282873167,0.229206774,0.179313658,0.232200408,0.133763778
1983/08,0.250090607,0.276612961,0.296387334,0.23983619,0.181262751,0.235088972,0.134883409
1983/09,0.257787495,0.285926477,0.306586047,0.247603928,0.185048828,0.24005638,0.137648434
1983/10,0.266341179,0.295173919,0.31758868,0.254088356,0.191728495,0.247880246,0.143388666
1983/11,0.281983237,0.312317244,0.339857703,0.263485867,0.203415009,0.251646665,0.162530069
1983/12,0.294047381,0.325911862,0.353928632,0.275967577,0.211597223,0.266942093,0.16432392
1984/01,0.312727718,0.343349891,0.371213021,0.293049756,0.232370617,0.301337126,0.17294766
1984/02,0.329232318,0.363431081,0.391480483,0.31221209,0.240232845,0.316541047,0.174206747
1984/03,0.343304281,0.378913964,0.408773136,0.324651215,0.250615513,0.335556165,0.176844073
1984/04,0.35815555,0.391804471,0.425516025,0.331719915,0.26931721,0.351894957,0.198019995
1984/05,0.370031686,0.403228381,0.438546981,0.340517163,0.281762959,0.364899671,0.210157759
1984/06,0.383423376,0.419732807,0.457875021,0.352523345,0.287673811,0.376403106,0.211037338
1984/07,0.395992706,0.434772368,0.474620793,0.36467882,0.294230427,0.38962738,0.211587447
1984/08,0.407248839,0.447044972,0.487335535,0.375929717,0.302786177,0.406856921,0.212329914
1984/09,0.419380438,0.463325558,0.505530172,0.388994251,0.305155839,0.409074887,0.214877635
1984/10,0.434033654,0.482507932,0.530730223,0.39911381,0.309102016,0.415293645,0.21680471
1984/11,0.448929413,0.498634967,0.551395822,0.408351259,0.320680078,0.438318588,0.218076228
1984/12,0.467995815,0.519677424,0.577471352,0.421650009,0.334599087,0.466189984,0.219429608
1985/01,0.502711447,0.54693919,0.604195531,0.44877229,0.384751475,0.510724378,0.275558161
1985/02,0.523596222,0.571629461,0.630429867,0.470489624,0.396319305,0.524105812,0.285653061
1985/03,0.5438854,0.597756554,0.662245459,0.487787802,0.402755302,0.535460691,0.287684206
1985/04,0.560621062,0.614614226,0.679240049,0.503901383,0.418593892,0.566658818,0.289698356
1985/05,0.573902241,0.632167385,0.697410552,0.520014295,0.421794907,0.574021294,0.289135904
1985/06,0.588275593,0.650252226,0.716266097,0.536426522,0.427301413,0.583353984,0.291224291
1985/07,0.608762824,0.673013743,0.737753761,0.560227923,0.441925116,0.612022531,0.293209165
1985/08,0.635376852,0.70355946,0.771122004,0.585816991,0.458723405,0.642952078,0.29732513
1985/09,0.660752314,0.734980673,0.800879907,0.618540306,0.469589194,0.660715943,0.302043952
1985/10,0.685852223,0.766075916,0.838322983,0.639719764,0.480299129,0.679271146,0.305735777
1985/11,0.717495125,0.802320798,0.880252384,0.666809896,0.500436273,0.718040575,0.309118011
1985/12,0.766340131,0.83813003,0.920687189,0.694962884,0.576720102,0.764906361,0.413632373
1986/01,0.834092231,0.909993014,0.995862261,0.759829661,0.632727316,0.814926635,0.476050322
1986/02,0.871174477,0.95754511,1.051941981,0.793871684,0.644937965,0.815894278,0.498771609
1986/03,0.911666717,1.008175438,1.116204946,0.823735829,0.661172551,0.834610058,0.512997793
1986/04,0.959263111,1.063467711,1.184581918,0.858877216,0.689724178,0.884222569,0.522705789
1986/05,1.012570099,1.1254966,1.265924731,0.89180356,0.721476516,0.942201316,0.530930288
1986/06,1.077566644,1.204650069,1.359358609,0.948348623,0.752277761,0.994857269,0.542196939
1986/07,1.131332893,1.2650744,1.425884709,0.998241361,0.789099546,1.045521165,0.566930705
1986/08,1.221531243,1.337382911,1.51608133,1.04310906,0.916096093,1.091148473,0.770631026
1986/09,1.294811669,1.421435787,1.617864679,1.099557373,0.962474172,1.139453008,0.816004914
1986/10,1.368824029,1.515087185,1.73818902,1.152755875,0.98965799,1.174579953,0.836351688
1986/11,1.461304324,1.617608638,1.86505495,1.217797506,1.056281599,1.239951504,0.905218629
1986/12,1.576734626,1.742313508,2.013879642,1.304610803,1.146481889,1.357744607,0.97159887
