Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
01/01/1988,4.636980106,4.986074108,5.830806978,3.644254235,3.675147027,4.150617446,3.300656827
02/01/1988,4.799511568,5.18571464,6.110194336,3.725927339,3.748086324,4.281287395,3.321930583
01/02/1988,5.041704344,5.517371805,6.561276099,3.879872879,3.780023218,4.317983612,3.350038434
02/02/1988,5.181864637,5.711400318,6.771718982,4.044707686,3.793792538,4.342381593,3.35430138
01/03/1988,5.332375151,5.910858265,7.008878628,4.185019466,3.828572207,4.413061998,3.356776417
02/03/1988,5.414721544,5.988469549,7.086732595,4.259798377,3.918414133,4.598200837,3.360825978
01/04/1988,5.526642661,6.101765325,7.183637505,4.392383653,4.022962081,4.827746931,3.35262195
02/04/1988,5.551240429,6.141855439,7.217176068,4.440350789,4.01181533,4.803950564,3.352876117
01/05/1988,5.615513439,6.221396379,7.262866993,4.564688413,4.039328205,4.873469048,3.342372225
02/05/1988,5.676704021,6.258554178,7.285049432,4.621601178,4.152166814,5.10889229,3.344807028
01/06/1988,5.739709868,6.313978749,7.307913158,4.720793681,4.229793064,5.27252467,3.344947696
02/06/1988,5.782874209,6.337557378,7.309679314,4.774127633,4.315304171,5.452946196,3.344948551
01/07/1988,5.844765201,6.37918028,7.30743472,4.875778242,4.420344561,5.67441194,3.345097056
02/07/1988,5.870150931,6.39589639,7.31196414,4.909004943,4.464230236,5.766788122,3.345298122
01/08/1988,5.908970863,6.452324039,7.337824245,5.006379946,4.462003603,5.761151398,3.346157873
02/08/1988,5.913717283,6.450338056,7.306666455,5.045265134,4.481695091,5.802673512,3.346181274
01/09/1988,5.944982419,6.473339259,7.246506754,5.183858292,4.530329688,5.902750041,3.34850684
02/09/1988,5.945298433,6.458728028,7.200982873,5.212958957,4.564165705,5.973303657,3.349274388
01/10/1988,5.973526731,6.497841189,7.199338877,5.3078295,4.566862484,5.962877978,3.364034935
02/10/1988,6.007448971,6.516504414,7.200644363,5.350174366,4.633770515,6.103688635,3.364365223
01/11/1988,6.057258403,6.550222732,7.207270956,5.420707273,4.717826385,6.269811701,3.374649943
02/11/1988,6.084051689,6.574228988,7.220895578,5.45846493,4.749862772,6.336287019,3.37567505
01/12/1988,6.176145805,6.666610117,7.301272718,5.564670701,4.837786276,6.520597827,3.376775646
02/12/1988,6.218489547,6.700131552,7.30789686,5.634741064,4.898322634,6.646950263,3.378035069
01/01/1989,6.321102251,6.850729487,7.387626366,5.879637024,4.889206153,6.612432353,3.392032733
02/01/1989,6.376946506,6.94168829,7.441781219,6.019157916,4.864019954,6.53654568,3.412865644
01/02/1989,6.425626578,7.017481666,7.460654369,6.172140424,4.849918452,6.505381162,3.4141583
02/02/1989,6.444740217,7.052745622,7.466878435,6.246894538,4.832013595,6.46628881,3.415362134
01/03/1989,6.487045105,7.11523543,7.494053182,6.356778111,4.827350016,6.45311102,3.418419413
02/03/1989,6.522840113,7.147953904,7.518745605,6.399673012,4.868681173,6.525313033,3.4321616
01/04/1989,6.589675423,7.205889683,7.566785579,6.469590762,4.952947787,6.701178055,3.433930815
02/04/1989,6.614775187,7.230610392,7.586113715,6.50106091,4.977947844,6.748839213,3.438590253
01/05/1989,6.669996739,7.281175736,7.609894281,6.587470335,5.041518082,6.889350031,3.432744854
02/05/1989,6.716202581,7.30567353,7.622815889,6.627374758,5.134720789,7.084476465,3.434141402
01/06/1989,6.763355427,7.351787125,7.6403295,6.71201465,5.182404659,7.182868929,3.436172134
02/06/1989,6.785414209,7.371091643,7.647124499,6.748198215,5.209807401,7.238847949,3.437856357
01/07/1989,6.829025113,7.417351648,7.645209848,6.860362109,5.245789529,7.310083002,3.442147148
02/07/1989,6.855271333,7.440060919,7.656829759,6.897854455,5.278973617,7.37959,3.442613447
01/08/1989,6.897186125,7.494134468,7.678801999,6.995096501,5.291951998,7.397484912,3.451304131
02/08/1989,6.917479375,7.537016582,7.705973085,7.05857882,5.26071815,7.329792106,3.45294505
01/09/1989,6.953192531,7.605848754,7.725265694,7.194499178,5.22067131,7.239032085,3.458682306
02/09/1989,6.993593049,7.654644888,7.754877752,7.268563872,5.24067391,7.23370852,3.502213423
01/10/1989,7.060302989,7.738119069,7.824820885,7.368284935,5.267173286,7.220161816,3.565831284
02/10/1989,7.0927467,7.794054528,7.877437687,7.427066083,5.245605057,7.173815822,3.56659931
01/11/1989,7.151366693,7.85463443,7.916821108,7.51535113,5.297580987,7.249948281,3.597312676
02/11/1989,7.20034672,7.918835028,7.980503169,7.578214952,5.310507492,7.273799643,3.60044753
01/12/1989,7.327823991,8.03775617,8.063632593,7.743384051,5.452335527,7.421149596,3.739571978
02/12/1989,7.508235084,8.195588345,8.230919649,7.882920535,5.676569432,7.656034208,3.95777252
01/01/1990,7.729410887,8.385631561,8.357787259,8.155233574,5.959218066,7.863484825,4.313987155
02/01/1990,7.822663374,8.473502619,8.406371645,8.295238888,6.060987263,8.028390171,4.359618359
01/02/1990,7.914668903,8.56414136,8.462586001,8.431121312,6.152520065,8.188049028,4.390272958
02/02/1990,7.9895724,8.604808037,8.489108666,8.490267309,6.301461003,8.497772433,4.394423471
01/03/1990,8.066690583,8.677225918,8.528912186,8.605982154,6.386180717,8.663768995,4.406106942
02/03/1990,8.117932437,8.753588022,8.581010909,8.71383265,6.379033363,8.63308054,4.42040252
01/04/1990,8.180866274,8.841274798,8.643011874,8.834633853,6.383950715,8.652185817,4.412406605
02/04/1990,8.250077902,8.931760302,8.737638267,8.916420403,6.402727716,8.683767585,4.419767229
01/05/1990,8.320460852,9.039816809,8.813995374,9.065349247,6.385776106,8.655371537,4.413016353
02/05/1990,8.397217432,9.143444657,8.94364409,9.1292489,6.399224161,8.591809003,4.497222485
01/06/1990,8.510615523,9.281167853,9.071301273,9.276629375,6.453622401,8.492809693,4.69302216
02/06/1990,8.575261532,9.35870113,9.160362841,9.335545759,6.486836853,8.504013403,4.74694778
01/07/1990,8.663004504,9.466326228,9.245527004,9.471133701,6.526551605,8.558199404,4.774067319
02/07/1990,8.734466562,9.547042943,9.319276405,9.559004097,6.574486223,8.646476885,4.78584705
01/08/1990,8.824874409,9.65155652,9.410566635,9.678658333,6.629739761,8.754094363,4.794056938
02/08/1990,8.869027717,9.705098847,9.456630883,9.740941681,6.65110643,8.78517948,4.806877004
01/09/1990,8.946292509,9.812262345,9.497415349,9.937518275,6.658252455,8.797055129,4.80980972
02/09/1990,8.999831938,9.860602311,9.547676959,9.981617434,6.721424546,8.887325677,4.849210531
01/10/1990,9.077561425,9.959279176,9.630683247,10.09904577,6.749125952,8.896460896,4.894376695
02/10/1990,9.126558547,10.02959489,9.704811729,10.16176938,6.748357038,8.847214053,4.937996503
01/11/1990,9.234761065,10.13011701,9.770926521,10.30719386,6.869672839,8.945942317,5.082014033
02/11/1990,9.452685037,10.29014315,9.926550281,10.46823827,7.209304911,9.238326413,5.470558135
01/12/1990,9.579936954,10.44243573,10.04846315,10.65813625,7.275404211,9.366876346,5.480555279
02/12/1990,9.69649259,10.55894915,10.12433616,10.82775762,7.387593206,9.4918548,5.58289233
01/01/1991,9.845375375,10.72985149,10.24124209,11.06870414,7.481309196,9.644429221,5.624254674
02/01/1991,9.922384248,10.83128461,10.32719169,11.18853856,7.500500495,9.665554031,5.641993577
01/02/1991,10.02238492,10.94958635,10.40531376,11.35924629,7.555567306,9.679541413,5.735599479
02/02/1991,10.09046563,11.02925517,10.47276832,11.45344222,7.595012176,9.677984226,5.813253288
01/03/1991,10.17359014,11.12427968,10.53968986,11.58472674,7.648227775,9.669980212,5.923423873
02/03/1991,10.22609191,11.18172626,10.60746234,11.62588359,7.6876183,9.695155453,5.976488125
01/04/1991,10.2882238,11.25479895,10.68119924,11.69568003,7.722799319,9.799457622,5.948944219
02/04/1991,10.32515127,11.29532183,10.73030946,11.72288878,7.750240666,9.849490097,5.956149556
01/05/1991,10.37703863,11.35230906,10.77719839,11.79217172,7.788684239,9.952391482,5.936193559
02/05/1991,10.43784585,11.41205132,10.85409877,11.82599319,7.849559821,10.07364112,5.942782247
01/06/1991,10.50412839,11.47537807,10.91238118,11.89434218,7.919946469,10.21312261,5.951052391
02/06/1991,10.52916651,11.5042324,10.94117868,11.92234923,7.93544838,10.24484702,5.951953226
01/07/1991,10.58872263,11.56945299,10.98495485,12.01547271,7.979994284,10.3306557,5.959445442
02/07/1991,10.63044626,11.61465577,11.01249308,12.08393389,8.012296544,10.39674055,5.961341988
01/08/1991,10.6703914,11.67226861,11.05915461,12.15501556,8.011013566,10.38992664,5.965103551
02/08/1991,10.69645423,11.72370075,11.11307304,12.20131773,7.979078478,10.31633227,5.970794629
01/09/1991,10.76733814,11.83420477,11.18332363,12.36458137,7.958249751,10.26658954,5.976102859
02/09/1991,10.81236541,11.88737772,11.23677425,12.41565797,7.983254279,10.31230437,5.982553598
01/10/1991,10.87616491,11.96558781,11.30383846,12.5069475,8.012253757,10.33780291,6.015240951
02/10/1991,10.95452021,12.08364988,11.43755172,12.59932353,7.998415725,10.29795377,6.024997105
01/11/1991,11.11362059,12.15369882,11.47229402,12.71651165,8.351464312,10.36194703,6.648654496
02/11/1991,11.25912773,12.12362733,11.43544129,12.69689209,8.88582265,10.38743918,7.6579582
01/12/1991,11.3936863,12.28914945,11.59986973,12.85862752,8.945664295,10.48700397,7.682410196
02/12/1991,11.50567476,12.41926607,11.67674691,13.05903947,9.012643427,10.60839107,7.700668148
01/01/1992,11.61674212,12.54353709,11.71877665,13.29436321,9.089800783,10.74582616,7.723897066
02/01/1992,11.69881913,12.6209639,11.76087567,13.41872181,9.179199934,10.90109262,7.754451413
01/02/1992,11.77044437,12.68703464,11.78314903,13.54393691,9.260570404,11.03756396,7.786704923
02/02/1992,11.82136037,12.75424917,11.83721765,13.62738182,9.2729167,11.03103857,7.81654093
01/03/1992,11.8897716,12.8132602,11.86873236,13.72296101,9.359822666,11.16238956,7.864181627
02/03/1992,11.94212831,12.85831694,11.89879677,13.78754273,9.42657094,11.27385246,7.891083123
01/04/1992,12.00305313,12.92571536,11.94581191,13.88128974,9.470614974,11.35593313,7.901019997
02/04/1992,12.04129232,12.98459506,11.99561249,13.95097866,9.461016891,11.30233694,7.931560976
01/05/1992,12.08459188,13.07742311,12.08301296,14.0484175,9.391386203,11.15537129,7.931606551
02/05/1992,12.11828669,13.14783883,12.15860134,14.10933559,9.341297933,11.03337645,7.946546983
01/06/1992,12.16540276,13.21429721,12.21281535,14.19078752,9.343153583,11.00018783,7.980530875
02/06/1992,12.20128946,13.27174431,12.25158894,14.27251112,9.329226013,10.95051348,7.999113025
01/07/1992,12.24368605,13.32727729,12.29090971,14.34893902,9.340488773,10.94212228,8.028564005
02/07/1992,12.27686021,13.37532847,12.31909382,14.42323812,9.338970091,10.92404901,8.042182651
01/08/1992,12.31795544,13.43929839,12.38014521,14.48923593,9.327097202,10.86078985,8.077177961
02/08/1992,12.35323188,13.49607766,12.422408,14.564498,9.312719675,10.82884314,8.078653624
01/09/1992,12.42346148,13.593276,12.45395451,14.75041227,9.319674733,10.8274452,8.093374723
02/09/1992,12.46233633,13.64298879,12.48709058,14.82171686,9.332707763,10.85645105,8.091994383
01/10/1992,12.51235661,13.68616434,12.52373016,14.87264853,9.396194731,10.92419173,8.152639053
02/10/1992,12.55263331,13.73145336,12.566716,14.91970469,9.423675197,10.95978221,8.173147574
01/11/1992,12.60691926,13.7798274,12.60127139,14.98585534,9.489165094,11.02456564,8.240371513
