Periodo,Inflación mensual,Inflación mensual interanual,Inflación acumulada anual
1970/01,0.76,5.2,0.76
1970/02,-0.01,4.81,0.75
1970/03,0.29,5.01,1.04
1970/04,0.13,4.87,1.17
1970/05,0.21,5.09,1.39
1970/06,0.61,5.35,2
1970/07,0.49,5.46,2.5
1970/08,0.46,5.84,2.98
1970/09,0.24,5.11,3.22
1970/10,0.03,4.05,3.26
1970/11,0.54,4.6,3.82
1970/12,0.85,4.69,4.69
1971/01,0.99,4.93,0.99
1971/02,0.41,5.38,1.4
1971/03,0.38,5.47,1.79
1971/04,0.51,5.87,2.31
1971/05,0.21,5.87,2.53
1971/06,0.45,5.71,2.99
1971/07,-0.08,5.11,2.91
1971/08,0.91,5.58,3.85
1971/09,0.33,5.67,4.19
1971/10,0.1,5.74,4.29
1971/11,0.16,5.34,4.46
1971/12,0.48,4.96,4.96
1972/01,0.44,4.4,0.44
1972/02,0.31,4.29,0.76
1972/03,0.55,4.46,1.31
1972/04,0.63,4.58,1.94
1972/05,0.2,4.57,2.15
1972/06,0.74,4.87,2.9
1972/07,0.38,5.35,3.29
1972/08,0.66,5.08,3.97
1972/09,0.46,5.22,4.44
1972/10,0.07,5.19,4.52
1972/11,0.65,5.7,5.2
1972/12,0.34,5.56,5.56
1973/01,1.45,6.62,1.45
1973/02,0.83,7.16,2.29
1973/03,0.88,7.52,3.19
1973/04,1.58,8.54,4.82
1973/05,1.06,9.47,5.94
1973/06,0.82,9.56,6.81
1973/07,2.56,11.95,9.55
1973/08,1.6,13,11.3
1973/09,2.38,15.16,13.95
1973/10,1.28,16.56,15.41
1973/11,1.23,17.23,16.83
1973/12,3.88,21.37,21.37
1974/01,3.58,23.92,3.58
1974/02,2.26,25.68,5.92
1974/03,0.77,25.54,6.74
1974/04,1.36,25.26,8.19
1974/05,0.79,24.92,9.04
1974/06,0.99,25.13,10.11
1974/07,1.45,23.76,11.71
1974/08,1.06,23.09,12.88
1974/09,1.13,21.6,14.16
1974/10,1.98,22.44,16.43
1974/11,2.78,24.31,19.66
1974/12,0.78,20.6,20.6
1975/01,1.28,17.92,1.28
1975/02,0.55,15.95,1.84
1975/03,0.63,15.79,2.48
1975/04,0.84,15.2,3.34
1975/05,1.34,15.83,4.73
1975/06,1.7,16.65,6.51
1975/07,0.8,15.91,7.36
1975/08,0.87,15.69,8.29
1975/09,0.73,15.22,9.08
1975/10,0.51,13.56,9.64
1975/11,0.7,11.27,10.4
1975/12,0.82,11.31,11.31
1976/01,1.93,12.02,1.93
1976/02,1.87,13.49,3.84
1976/03,0.98,13.89,4.86
1976/04,0.7,13.72,5.59
1976/05,0.7,13.01,6.33
1976/06,0.4,11.56,6.76
1976/07,0.85,11.62,7.66
1976/08,0.96,11.72,8.69
1976/09,3.41,14.69,12.4
1976/10,5.63,20.53,18.73
1976/11,4.52,25.1,24.09
1976/12,2.51,27.2,27.2
1977/01,3.19,28.77,3.19
1977/02,2.21,29.19,5.46
1977/03,1.74,30.17,7.3
1977/04,1.51,31.22,8.93
1977/05,0.88,31.45,9.88
1977/06,1.23,32.53,11.23
1977/07,1.13,32.91,12.49
1977/08,2.05,34.35,14.8
1977/09,1.77,32.22,16.83
1977/10,0.76,26.13,17.73
1977/11,1.09,22,19.01
1977/12,1.38,20.66,20.66
1978/01,2.22,19.53,2.22
1978/02,1.44,18.63,3.69
1978/03,1.04,17.81,4.77
1978/04,1.11,17.35,5.94
1978/05,0.98,17.46,6.97
1978/06,1.38,17.64,8.44
1978/07,1.7,18.3,10.28
1978/08,1,17.07,11.38
1978/09,1.14,16.35,12.65
1978/10,1.21,16.86,14.02
1978/11,1.03,16.79,15.19
1978/12,0.85,16.17,16.17
1979/01,3.55,17.68,3.55
1979/02,1.44,17.68,5.04
1979/03,1.36,18.05,6.46
1979/04,0.9,17.8,7.42
1979/05,1.31,18.18,8.82
1979/06,1.11,17.87,10.03
1979/07,1.21,17.31,11.36
1979/08,1.51,17.91,13.05
1979/09,1.23,18.01,14.44
1979/10,1.75,18.63,16.44
1979/11,1.29,18.93,17.93
1979/12,1.77,20.02,20.02
1980/01,4.88,21.56,4.88
1980/02,2.31,22.6,7.3
1980/03,2.06,23.45,9.51
1980/04,1.75,24.49,11.42
1980/05,1.63,24.89,13.24
1980/06,1.98,25.97,15.48
1980/07,2.79,27.94,18.71
1980/08,2.07,28.64,21.17
1980/09,1.11,28.49,22.51
1980/10,1.51,28.2,24.37
1980/11,1.73,28.77,26.53
1980/12,2.62,29.85,29.85
1981/01,3.22,27.8,3.22
1981/02,2.46,27.98,5.76
1981/03,2.14,28.08,8.02
1981/04,2.26,28.72,10.46
1981/05,1.51,28.57,12.13
1981/06,1.4,27.83,13.69
1981/07,1.76,26.55,15.7
1981/08,2.06,26.54,18.08
1981/09,1.86,27.47,20.28
1981/10,2.22,28.36,22.95
1981/11,1.92,28.6,25.31
1981/12,2.69,28.68,28.68
1982/01,4.97,30.86,4.97
1982/02,3.93,32.74,9.09
1982/03,3.65,34.71,13.08
1982/04,5.42,38.88,19.21
1982/05,5.62,44.5,25.91
1982/06,4.82,49.37,31.97
1982/07,5.15,54.35,38.77
1982/08,11.22,68.21,54.34
1982/09,5.34,73.95,62.58
1982/10,5.18,79,71.01
1982/11,5.06,84.49,79.66
1982/12,10.68,98.84,98.84
1983/01,10.88,110.04,10.88
1983/02,5.37,112.95,16.83
1983/03,4.84,115.39,22.49
1983/04,6.33,117.25,30.24
1983/05,4.34,114.61,35.89
1983/06,3.79,112.5,41.04
1983/07,4.94,112.08,48.01
1983/08,3.88,98.08,53.75
1983/09,3.08,93.83,58.49
1983/10,3.32,90.39,63.74
1983/11,5.87,91.87,73.36
1983/12,4.28,80.78,80.78
1984/01,6.35,73.4,6.35
1984/02,5.28,73.25,11.97
1984/03,4.27,72.31,16.75
1984/04,4.33,69.06,21.8
1984/05,3.32,67.41,25.84
1984/06,3.62,67.14,30.4
1984/07,3.28,64.49,34.67
1984/08,2.84,62.84,38.5
1984/09,2.98,62.68,42.62
1984/10,3.49,62.96,47.61
1984/11,3.43,59.2,52.67
1984/12,4.25,59.16,59.16
1985/01,7.42,60.75,7.42
1985/02,4.15,59.04,11.88
1985/03,3.87,58.43,16.22
1985/04,3.08,56.53,19.79
1985/05,2.37,55.1,22.63
1985/06,2.5,53.43,25.7
1985/07,3.48,53.73,30.08
1985/08,4.37,56.02,35.77
1985/09,3.99,57.55,41.19
1985/10,3.8,58.02,46.55
1985/11,4.61,59.82,53.31
1985/12,6.81,63.75,63.75
1986/01,8.84,65.92,8.84
1986/02,4.45,66.38,13.68
1986/03,4.65,67.62,18.96
1986/04,5.22,71.11,25.17
1986/05,5.56,76.44,32.13
1986/06,6.42,83.17,40.61
1986/07,4.99,85.84,47.63
1986/08,7.97,92.25,59.4
1986/09,6,95.96,68.96
1986/10,5.72,99.58,78.62
1986/11,6.76,103.67,90.69
1986/12,7.9,105.75,105.75
1987/01,8.1,104.34,8.1
1987/02,7.22,109.76,15.9
1987/03,6.61,113.69,23.56
1987/04,8.75,120.86,34.37
1987/05,7.54,125,44.5
1987/06,7.23,126.73,54.95
1987/07,8.1,133.44,67.5
1987/08,8.17,133.88,81.19
1987/09,6.59,135.18,93.13
1987/10,8.33,141,109.22
1987/11,7.93,143.65,125.82
1987/12,14.77,159.17,159.17
1988/01,15.46,176.83,15.46
1988/02,8.34,179.73,25.09
1988/03,5.12,175.83,31.5
1988/04,3.08,161.44,35.55
1988/05,1.93,147.82,38.17
1988/06,2.04,135.81,40.99
1988/07,1.67,121.79,43.34
1988/08,0.92,106.92,44.66
1988/09,0.57,95.24,45.49
1988/10,0.76,81.59,46.6
1988/11,1.34,70.5,48.56
1988/12,2.09,51.66,51.66
1989/01,2.45,34.56,2.45
1989/02,1.36,25.89,3.84
1989/03,1.08,21.05,4.96
1989/04,1.5,19.2,6.53
1989/05,1.38,18.54,8
1989/06,1.21,17.58,9.31
1989/07,1,16.81,10.41
1989/08,0.95,16.85,11.46
1989/09,0.96,17.3,12.52
1989/10,1.48,18.13,14.19
1989/11,1.4,18.21,15.79
1989/12,3.37,19.7,19.7
1990/01,4.83,22.48,4.83
1990/02,2.26,23.57,7.2
1990/03,1.76,24.4,9.09
1990/04,1.52,24.43,10.75
1990/05,1.75,24.89,12.68
1990/06,2.2,26.11,15.16
1990/07,1.82,27.13,17.26
1990/08,1.7,28.08,19.26
1990/09,1.43,28.68,20.96
1990/10,1.44,28.62,22.7
1990/11,2.66,30.21,25.96
1990/12,3.15,29.93,29.93
1991/01,2.55,27.11,2.55
1991/02,1.75,26.46,4.34
1991/03,1.43,26.04,5.83
1991/04,1.05,25.45,6.94
1991/05,0.98,24.51,7.98
1991/06,1.05,23.1,9.11
1991/07,0.88,21.97,10.08
1991/08,0.7,20.76,10.84
1991/09,1,20.25,11.95
1991/10,1.16,19.92,13.25
1991/11,2.48,19.72,16.06
1991/12,2.35,18.79,18.79
1992/01,1.82,17.95,1.82
1992/02,1.18,17.3,3.02
1992/03,1.02,16.82,4.07
1992/04,0.89,16.64,5
1992/05,0.66,16.28,5.69
1992/06,0.68,15.85,6.41
1992/07,0.63,15.56,7.08
1992/08,0.61,15.46,7.74
1992/09,0.87,15.32,8.67
1992/10,0.72,14.82,9.46
1992/11,0.83,12.96,10.37
1992/12,1.42,11.94,11.94
1993/01,1.25,11.32,1.25
1993/02,0.82,10.91,2.08
1993/03,0.58,10.44,2.68
1993/04,0.58,10.09,3.27
1993/05,0.57,10,3.86
1993/06,0.56,9.87,4.44
1993/07,0.48,9.7,4.94
1993/08,0.54,9.62,5.51
1993/09,0.74,9.48,6.29
1993/10,0.41,9.14,6.72
1993/11,0.44,8.72,7.19
1993/12,0.76,8.01,8.01
1994/01,0.78,7.5,0.78
1994/02,0.51,7.18,1.29
1994/03,0.51,7.1,1.81
1994/04,0.49,7.01,2.31
1994/05,0.48,6.92,2.81
1994/06,0.5,6.85,3.32
1994/07,0.44,6.81,3.78
1994/08,0.47,6.74,4.26
1994/09,0.71,6.71,5.01
1994/10,0.52,6.83,5.56
1994/11,0.53,6.93,6.12
1994/12,0.88,7.05,7.05
1995/01,3.76,10.23,3.76
1995/02,4.24,14.31,8.16
1995/03,5.9,20.43,14.54
1995/04,7.97,29.39,23.66
1995/05,4.18,34.15,28.83
1995/06,3.17,37.72,32.92
1995/07,2.04,39.91,35.63
1995/08,1.66,41.57,37.88
1995/09,2.07,43.48,40.73
1995/10,2.06,45.66,43.63
1995/11,2.47,48.46,47.17
1995/12,3.26,51.97,51.97
1996/01,3.59,51.72,3.59
1996/02,2.33,48.95,6.01
1996/03,2.2,43.75,8.35
1996/04,2.84,36.93,11.43
1996/05,1.82,33.83,13.46
1996/06,1.63,31.82,15.31
1996/07,1.42,31.03,16.94
1996/08,1.33,30.6,18.5
1996/09,1.6,30,20.39
1996/10,1.25,28.97,21.9
1996/11,1.52,27.77,23.74
1996/12,3.2,27.7,27.7
1997/01,2.57,26.44,2.57
1997/02,1.68,25.64,4.3
1997/03,1.24,24.46,5.59
1997/04,1.08,22.33,6.73
1997/05,0.91,21.23,7.71
1997/06,0.89,20.35,8.66
1997/07,0.87,19.7,9.61
1997/08,0.89,19.18,10.58
1997/09,1.25,18.76,11.96
1997/10,0.8,18.24,12.86
1997/11,1.12,17.77,14.12
1997/12,1.4,15.72,15.72
1998/01,2.18,15.27,2.18
1998/02,1.75,15.35,3.96
1998/03,1.17,15.27,5.18
1998/04,0.94,15.1,6.17
1998/05,0.8,14.97,7.01
1998/06,1.18,15.31,8.28
1998/07,0.96,15.41,9.32
1998/08,0.96,15.5,10.37
1998/09,1.62,15.92,12.16
1998/10,1.43,16.65,13.77
1998/11,1.77,17.41,15.78
1998/12,2.44,18.61,18.61
1999/01,2.53,19.02,2.53
1999/02,1.34,18.54,3.9
1999/03,0.93,18.26,4.87
1999/04,0.92,18.23,5.83
1999/05,0.6,18.01,6.47
1999/06,0.66,17.39,7.17
1999/07,0.66,17.04,7.88
1999/08,0.56,16.58,8.48
1999/09,0.97,15.83,9.53
1999/10,0.63,14.91,10.22
1999/11,0.89,13.92,11.2
1999/12,1,12.32,12.32
2000/01,1.34,11.02,1.34
2000/02,0.89,10.52,2.24
2000/03,0.55,10.11,2.81
2000/04,0.57,9.73,3.39
2000/05,0.37,9.48,3.78
2000/06,0.59,9.41,4.39
2000/07,0.39,9.12,4.8
