Periodo,Inflación mensual,Inflación subyacente,Inflación no subyacente,Inflación mensual interanual,Inflación subyacente interanual,Inflación no subyacente interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación no subyacente acumulada
1983/02,5.37,6.22,2.71,112.95,114.04,109.5,16.83,18.7,11.17
1983/03,4.84,5.08,4.07,115.39,115.68,114.44,22.49,24.73,15.7
1983/04,6.33,5.7,8.4,117.25,115.54,122.87,30.24,31.84,25.42
1983/05,4.34,4.32,4.39,114.61,111.71,124.39,35.89,37.53,30.92
1983/06,3.79,3.85,3.57,112.5,108.9,124.85,41.04,42.83,35.6
1983/07,4.94,5.87,2,112.08,110.58,117.18,48.01,51.22,38.31
1983/08,3.88,4.73,1.09,98.08,101.3,87.8,53.75,58.36,39.81
1983/09,3.08,3.37,2.09,93.83,97.23,82.91,58.49,63.7,42.73
1983/10,3.32,3.23,3.61,90.39,92.38,83.83,63.74,68.99,47.88
1983/11,5.87,5.81,6.1,91.87,92.26,90.54,73.36,78.81,56.9
1983/12,4.28,4.35,4.02,80.78,86.59,63.21,80.78,86.59,63.21
1984/01,6.35,5.35,9.82,73.4,75.89,65.59,6.35,5.35,9.82
1984/02,5.28,5.85,3.38,73.25,75.28,66.67,11.97,11.51,13.53
1984/03,4.27,4.26,4.32,72.31,73.92,67.08,16.75,16.26,18.44
1984/04,4.33,3.4,7.46,69.06,70.15,65.63,21.8,20.22,27.28
1984/05,3.32,2.92,4.62,67.41,67.85,66,25.84,23.72,33.16
1984/06,3.62,4.09,2.1,67.14,68.24,63.63,30.4,28.79,35.95
1984/07,3.28,3.58,2.28,64.49,64.61,64.09,34.67,33.4,39.05
1984/08,2.84,2.82,2.91,62.84,61.61,67.04,38.5,37.17,43.1
1984/09,2.98,3.64,0.78,62.68,62.04,64.91,42.62,42.16,44.22
1984/10,3.49,4.14,1.29,62.96,63.47,61.22,47.61,48.05,46.08
1984/11,3.43,3.34,3.75,59.2,59.66,57.65,52.67,53,51.55
1984/12,4.25,4.22,4.34,59.16,59.45,58.13,59.16,59.45,58.13
1985/01,7.42,5.25,14.99,60.75,59.29,65.58,7.42,5.25,14.99
1985/02,4.15,4.51,3.01,59.04,57.29,64.97,11.88,10,18.45
1985/03,3.87,4.57,1.62,58.43,57.76,60.71,16.22,15.02,20.37
1985/04,3.08,2.82,3.93,56.53,56.87,55.43,19.79,18.27,25.1
1985/05,2.37,2.86,0.76,55.1,56.78,49.7,22.63,21.65,26.06
1985/06,2.5,2.86,1.31,53.43,54.92,48.54,25.7,25.13,27.71
