Periodo,Inflación mensual,Inflación subyacente,Inflación subyacente - mercancias,Inflación subyacente - servicios,Inflación no subyacente,Inflación no subyacente - agropecuarios,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno  ,Inflación mensual interanual,Inflación subyacente interanual,Inflación subyacente - mercancias interanual,Inflación subyacente - servicios interanual,Inflación no subyacente interanual,Inflación no subyacente - agropecuarios interanual,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación subyacente - mercancias acumulada,Inflación subyacente - servicios acumulada,Inflación no subyacenteacumulada,Inflación no subyacente - agropecuarios acumulada,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno acumulada
2011/08,0.16,0.12,0.09,0.15,0.29,0.15,0.37,3.42,3.22,4.39,2.24,3.9,4.37,3.58,0.94,1.97,2.78,1.29,-2.48,-2,-2.81
2011/09,0.25,0.27,0.32,0.22,0.17,-0.25,0.42,3.14,3.12,4.42,2.03,2.98,2.09,3.5,1.19,2.24,3.11,1.52,-2.32,-2.25,-2.41
2011/10,0.67,0.26,0.35,0.18,2.12,0.3,3.15,3.2,3.19,4.33,2.24,3.09,0.79,4.37,1.87,2.5,3.47,1.7,-0.24,-1.96,0.67
2011/11,1.08,0.32,0.34,0.31,3.67,1.46,4.89,3.48,3.28,4.32,2.41,4.13,0.87,5.85,2.97,2.83,3.82,2.02,3.41,-0.53,5.59
2011/12,0.82,0.51,0.67,0.37,1.86,4.29,0.57,3.82,3.35,4.52,2.4,5.34,3.73,6.19,3.82,3.35,4.52,2.4,5.34,3.73,6.19
2012/01,0.71,0.45,0.85,0.11,1.55,3.23,0.63,4.05,3.34,4.64,2.28,6.38,7.37,5.82,0.71,0.45,0.85,0.11,1.55,3.23,0.63
2012/02,0.2,0.43,0.64,0.25,-0.51,-1.81,0.22,3.87,3.37,4.75,2.23,5.53,5.45,5.58,0.91,0.88,1.49,0.36,1.03,1.36,0.85
2012/03,0.06,0.24,0.25,0.24,-0.55,-1.61,0.04,3.73,3.31,4.51,2.32,5.12,5.06,5.16,0.97,1.12,1.75,0.6,0.48,-0.27,0.89
2012/04,-0.31,0.15,0.32,0.01,-1.84,-1.07,-2.26,3.41,3.39,4.48,2.48,3.49,0.86,5,0.65,1.27,2.08,0.61,-1.37,-1.33,-1.39
2012/05,-0.32,0.27,0.3,0.23,-2.26,0.66,-3.87,3.85,3.48,4.5,2.63,5.15,5.6,4.89,0.34,1.54,2.38,0.84,-3.59,-0.68,-5.2
2012/06,0.46,0.22,0.36,0.09,1.3,2.62,0.54,4.34,3.5,4.66,2.54,7.26,11.29,5.02,0.8,1.76,2.76,0.93,-2.34,1.92,-4.69
2012/07,0.56,0.31,0.32,0.31,1.41,2.99,0.48,4.42,3.59,4.91,2.5,7.3,11.27,5.02,1.36,2.08,3.08,1.24,-0.96,4.96,-4.23
2012/08,0.3,0.22,0.39,0.08,0.55,0.59,0.53,4.57,3.7,5.23,2.43,7.58,11.76,5.19,1.67,2.31,3.49,1.33,-0.41,5.59,-3.73
2012/09,0.44,0.18,0.33,0.05,1.32,3.55,-0.03,4.77,3.61,5.24,2.25,8.81,16.02,4.73,2.12,2.49,3.83,1.38,0.9,9.33,-3.75
2012/10,0.51,0.23,0.29,0.18,1.42,-0.07,2.36,4.6,3.58,5.17,2.25,8.07,15.6,3.93,2.63,2.72,4.12,1.56,2.34,9.26,-1.48
2012/11,0.68,0.05,0.38,-0.23,2.73,-0.8,4.89,4.18,3.3,5.22,1.7,7.09,13.02,3.94,3.33,2.78,4.53,1.32,5.13,8.38,3.34
2012/12,0.23,0.12,0.46,-0.17,0.58,0.74,0.48,3.57,2.9,5,1.15,5.74,9.18,3.84,3.57,2.9,5,1.15,5.74,9.18,3.84
2013/01,0.4,0.42,0.24,0.58,0.33,-0.24,0.67,3.25,2.88,4.37,1.62,4.47,5.51,3.89,0.4,0.42,0.24,0.58,0.33,-0.24,0.67
2013/02,0.49,0.51,0.15,0.82,0.44,0.02,0.68,3.55,2.96,3.86,2.21,5.47,7.48,4.36,0.9,0.94,0.39,1.41,0.78,-0.22,1.36
2013/03,0.73,0.3,0.21,0.38,2.11,4.63,0.66,4.25,3.02,3.81,2.35,8.29,14.29,5.02,1.64,1.24,0.6,1.79,2.9,4.4,2.03
2013/04,0.07,0.08,0.14,0.03,0,1.49,-0.9,4.65,2.95,3.63,2.37,10.32,17.25,6.47,1.7,1.32,0.74,1.82,2.9,5.96,1.11
2013/05,-0.33,0.2,0.17,0.22,-2.05,-1.01,-2.71,4.63,2.88,3.49,2.36,10.56,15.3,7.75,1.37,1.52,0.92,2.04,0.8,4.89,-1.63
2013/06,-0.06,0.13,0.01,0.22,-0.69,-3,0.83,4.09,2.79,3.14,2.49,8.39,8.99,8.06,1.3,1.65,0.93,2.27,0.1,1.74,-0.82
2013/07,-0.03,0.03,-0.16,0.2,-0.26,-1.51,0.53,3.47,2.5,2.64,2.38,6.6,4.22,8.12,1.27,1.69,0.77,2.47,-0.15,0.2,-0.29
2013/08,0.28,0.09,0.26,-0.05,0.94,1.52,0.57,3.46,2.37,2.51,2.24,7.01,5.19,8.16,1.56,1.78,1.03,2.42,0.78,1.72,0.28
2013/09,0.38,0.32,0.41,0.25,0.55,0.74,0.44,3.39,2.52,2.59,2.45,6.2,2.33,8.66,1.94,2.11,1.45,2.68,1.34,2.47,0.72
